wavelength,k_ext,Av,Ak
0.1,52076.84652,3.594901183,19.78845185
0.1000991,51985.74569,3.588612429,19.75383485
0.1001983,51894.94592,3.582344457,19.71933224
0.1002976,51804.44777,3.576097307,19.68494425
0.100397,51714.25298,3.569871097,19.65067153
0.1004965,51624.36222,3.563665875,19.61651433
0.100596,51534.78005,3.557481955,19.5824744
0.1006957,51445.50362,3.55131914,19.54855064
0.1007955,51356.5359,3.545177637,19.51474419
0.1008954,51267.88039,3.539057684,19.48105637
0.1009954,51179.5344,3.532959099,19.44748617
0.1010954,51091.50061,3.526882065,19.4140346
0.1011956,51003.78111,3.520826726,19.38070245
0.1012959,50915.16129,3.514709238,19.34702819
0.1013963,50826.77221,3.508607678,19.31344161
0.1014968,50738.67611,3.502526343,19.27996637
0.1015973,50650.87437,3.496465327,19.24660297
0.101698,50563.36515,3.490424504,19.21335072
0.1017988,50476.15228,3.484404139,19.18021109
0.1018997,50389.2401,3.47840453,19.14718571
0.1020006,50302.62897,3.472425703,19.11427473
0.1021017,50216.31819,3.46646761,19.08147788
0.1022029,50130.31501,3.46053075,19.04879791
0.1023042,50044.7641,3.454625111,19.01628979
0.1024056,49963.12867,3.448989759,18.9852695
0.102507,49876.68429,3.443022443,18.95242188
0.1026086,49783.68665,3.436602751,18.91708412
0.1027103,49691.06371,3.430208925,18.88188873
0.1028121,49598.81949,3.423841242,18.84683726
0.1029139,49506.95267,3.417499611,18.81192919
0.1030159,49415.46412,3.411184092,18.77716486
0.103118,49324.35693,3.404894899,18.74254544
0.1032202,49233.62951,3.398631922,18.70807033
0.1033225,49143.28127,3.392395119,18.6737393
0.1034249,49053.31839,3.386184919,18.6395547
0.1035274,48963.2021,3.379964128,18.6053118
0.1036299,48872.00001,3.373668384,18.57065632
0.1037326,48781.17215,3.367398473,18.53614304
0.1038354,48690.72188,3.361154628,18.50177324
0.1039383,48600.65413,3.354937188,18.46754879
0.1040413,48510.96437,3.348745841,18.43346798
0.1041444,48421.66035,3.342581122,18.39953374
0.1042476,48332.74054,3.336442925,18.36574549
0.1043509,48244.20617,3.330331336,18.3321037
0.1044543,48156.0568,3.324246323,18.29860821
0.1045578,48068.29607,3.318188139,18.2652604
0.1046614,47980.92907,3.312157133,18.23206219
0.1047652,47894.15135,3.306166806,18.19908791
0.104869,47807.86854,3.300210643,18.16630169
0.1049729,47721.96065,3.294280362,18.13365792
0.1050769,47635.50906,3.288312548,18.10080757
0.105181,47549.05337,3.282344451,18.06795565
0.1052853,47462.91889,3.276398528,18.03522579
0.1053896,47377.1056,3.270474776,18.00261797
0.105494,47291.61418,3.264573244,17.97013246
0.1055986,47206.44541,3.258693984,17.93776956
0.1057032,47121.60363,3.252837296,17.9055309
0.105808,47037.08822,3.247003138,17.87341626
0.1059128,46952.79005,3.241183977,17.84138417
0.1060178,46868.00213,3.235331007,17.80916598
0.1061228,46783.52048,3.22949918,17.77706417
0.106228,46699.34207,3.223688285,17.74507759
0.1063332,46615.47469,3.217898861,17.71320919
0.1064386,46531.91564,3.212130722,17.68145796
0.1065441,46448.67234,3.206384378,17.6498267
0.1066497,46365.74299,3.200659707,17.61831474
0.1067553,46283.12845,3.194956768,17.58692241
0.1068611,46200.83723,3.189276147,17.55565293
0.106967,46118.8671,3.183617691,17.52450546
0.107073,46037.22128,3.177981623,17.49348122
0.1071791,45955.89796,3.172367818,17.46257953
0.1072853,45858.83295,3.165667352,17.42569623
0.1073916,45758.29475,3.15872713,17.38749316
0.1074981,45658.23927,3.15182023,17.34947352
0.1076046,45558.67419,3.144947182,17.31164022
0.1077112,45459.60698,3.138108503,17.2739961
0.107818,45361.11818,3.131309753,17.23657178
0.1079248,45264.50063,3.124640176,17.1998585
0.1080317,45168.37175,3.118004332,17.16333091
